fonte,anno,necessita_locatore,finita_locazione,morosita_altra_causa,provvedimenti_totali,var_provvedimenti_percentuale,richieste_esecuzione,var_richieste_percentuale,sfratti_eseguiti,var_eseguiti_percentuale
Ministero Interno via SICET,2004,742,12873,32578,46193,17.59,78099,-6.75,25267,9.86
Ministero Interno via SICET,2005,852,11195,33768,45815,-0.82,106335,36.15,25671,1.6
Ministero Interno via SICET,2006,669,10548,34309,45526,-0.63,100821,-5.19,22278,-13.22
Ministero Interno via SICET,2007,674,9236,33959,43869,-3.64,109446,8.55,22468,0.85
Ministero Interno via SICET,2008,539,10549,41203,52291,19.2,139193,27.18,25108,11.75
Ministero Interno via SICET,2009,700,9208,51576,61484,17.58,116573,-16.25,27584,9.86
Ministero Interno via SICET,2010,900,8495,56269,65664,6.8,111260,-4.56,29889,8.36
Ministero Interno via SICET,2011,832,7471,55543,63846,-2.77,123914,11.37,28641,-4.18
Ministero Interno via SICET,2012,1174,6640,62501,70315,10.13,126852,2.37,29154,1.79
Ministero Interno via SICET,2013,2654,5437,65521,73612,4.69,131017,3.28,31806,9.1
Ministero Interno via SICET,2014,3433,4843,69250,77526,5.32,150353,14.76,36340,14.26
Ministero Interno via SICET,2015,3255,4436,57653,65344,-15.71,153969,2.41,32723,-9.95
Ministero Interno via SICET,2016,2539,4534,56846,63919,-2.18,158833,3.16,35367,8.08
Ministero Interno via SICET,2017,1986,5106,52738,59830,-6.4,132228,-16.75,31946,-9.67
Ministero Interno via SICET,2018,2013,4872,49374,56259,-5.97,118927,-10.06,30161,-5.59
Ministero Interno via SICET,2019,1952,4327,43180,49459,-12.09,102081,-14.16,26644,-11.66
Ministero Interno via SICET,2020,1240,3272,28024,32536,-34.22,22841,-77.62,5270,-80.22
Ministero Interno via SICET,2021,1603,4499,32152,38254,17.57,33208,45.39,9537,80.97
Ministero Interno via SICET,2022,2819,5508,33522,41849,9.4,99316,199.07,30385,218.6
Ministero Interno via SICET,2023,2231,6440,30702,39373,-5.92,73809,-25.68,21345,-29.75
Ministero Interno via SICET,2024,2272,7845,30041,40158,1.99,81054,9.82,21337,-0.04
