fonte,anno,territorio,scala,necessita_locatore_capoluogo,necessita_locatore_resto_provincia,necessita_locatore_totale,finita_locazione_capoluogo,finita_locazione_resto_provincia,finita_locazione_totale,morosita_altra_causa_capoluogo,morosita_altra_causa_resto_provincia,morosita_altra_causa_totale,provvedimenti_totali,var_provvedimenti_percentuale,richieste_esecuzione,var_richieste_percentuale,sfratti_eseguiti,var_eseguiti_percentuale,regione
Ministero Interno via SICET,2024,Piemonte,regione,0,0,0,277,201,478,1665,1915,3580,4058,0.32,8076,1.82,2413,-9.9,Piemonte
Ministero Interno via SICET,2024,Valle d'Aosta,regione,0,0,0,10,8,18,24,43,67,85,26.87,206,-0.48,30,-11.76,Valle d'Aosta/Vallée d'Aoste
Ministero Interno via SICET,2024,Lombardia,regione,0,0,0,445,912,1357,1346,3871,5217,6574,-5.15,24956,61.51,4802,41.61,Lombardia
Ministero Interno via SICET,2024,Trentino Alto Adige,regione,6,7,13,32,71,103,100,194,294,410,-14.94,446,-12.2,294,1.73,Trentino-Alto Adige/Südtirol
Ministero Interno via SICET,2024,Veneto,regione,0,0,0,199,306,505,492,1083,1575,2080,1.86,4151,-19.18,1661,-11.84,Veneto
Ministero Interno via SICET,2024,Friuli Venezia Giulia,regione,0,0,0,135,56,191,285,207,492,683,3.48,1113,5.6,312,-13.57,Friuli-Venezia Giulia
Ministero Interno via SICET,2024,Liguria,regione,50,86,136,166,187,353,880,753,1633,2122,-4.11,3145,-1.81,966,-7.03,Liguria
Ministero Interno via SICET,2024,Emilia Romagna,regione,0,0,0,289,530,819,747,1235,1982,2801,0.21,8642,1.22,1799,-3.07,Emilia-Romagna
Ministero Interno via SICET,2024,Toscana,regione,5,13,18,200,268,468,679,1289,1968,2454,-3.69,6244,-9.53,1705,-11.43,Toscana
Ministero Interno via SICET,2024,Umbria,regione,0,0,0,13,36,49,243,258,501,550,18.28,335,-47.57,256,-13.8,Umbria
Ministero Interno via SICET,2024,Marche,regione,0,0,0,95,73,168,267,486,753,921,8.1,1566,-0.32,397,-1.98,Marche
Ministero Interno via SICET,2024,Lazio,regione,70,993,1063,758,266,1024,3309,705,4014,6101,3.94,5349,-6.65,2204,-13.6,Lazio
Ministero Interno via SICET,2024,Abruzzo,regione,0,3,3,25,69,94,816,412,1228,1325,12.29,1289,17.82,440,-17.6,Abruzzo
Ministero Interno via SICET,2024,Molise,regione,0,0,0,2,1,3,55,45,100,103,-9.65,574,14.57,289,1.05,Molise
Ministero Interno via SICET,2024,Campania,regione,86,2,88,745,586,1331,1626,1550,3176,4595,11.83,4486,-6.91,1537,-1.03,Campania
Ministero Interno via SICET,2024,Puglia,regione,0,1,1,143,370,513,608,1550,2158,2672,13.9,4858,13.0,789,6.62,Puglia
Ministero Interno via SICET,2024,Basilicata,regione,0,0,0,1,1,2,36,43,79,81,-33.61,374,1.36,82,13.89,Basilicata
Ministero Interno via SICET,2024,Calabria,regione,0,0,0,6,13,19,32,121,153,172,0.58,464,-21.75,328,53.99,Calabria
Ministero Interno via SICET,2024,Sicilia,regione,922,24,946,244,39,283,376,352,728,1957,3.22,3888,-20.73,749,-19.03,Sicilia
Ministero Interno via SICET,2024,Sardegna,regione,1,3,4,34,33,67,170,173,343,414,-10.97,892,149.86,284,-8.97,Sardegna
