fonte,anno,territorio,scala,indicatore,valore,unita,note
Comune di Macerata,2025,Comune di Macerata,comune,domande ERP pervenute,276,domande,bando 2024 graduatoria definitiva approvata 21/06/2025
Comune di Macerata,2025,Comune di Macerata,comune,domande ERP accolte in graduatoria definitiva,268,domande,
Comune di Macerata,2025,Comune di Macerata,comune,domande ERP escluse,8,domande,
Il Resto del Carlino su dati Comune,2025,Comune di Macerata,comune,alloggi ERP assegnati,35,alloggi,tutti gli alloggi disponibili assegnati
Il Resto del Carlino su dati Comune,2025,Comune di Macerata,comune,variazione domande rispetto bando 2022,30.8,percentuale,
ANSA su studio Nomisma ERAP,2024,Marche,regione,alloggi ERAP gestiti,15947,alloggi,70% di proprieta ERAP
ANSA su studio Nomisma ERAP,2024,Marche,regione,alloggi gestiti quota Macerata,19.2,percentuale,circa 3062 alloggi stimati
ANSA su studio Nomisma ERAP,2024,Marche,regione,nuove assegnazioni ERAP,470,assegnazioni,nuclei familiari assegnatari mediamente 2.6 persone
ANSA su studio Nomisma ERAP,2024,Marche comuni sopra 15000 abitanti,regione,domande valide ERP senza risposta,83,percentuale,indicatore di gap domanda/offerta
Regione Marche,2024,Provincia di Macerata,provincia,nuovi alloggi ERP sovvenzionati Collevario,12,alloggi,finanziamento 3478927.72 EUR
Regione Marche,2024,Comune di Macerata,comune,alloggi edilizia agevolata Collevario,14,alloggi,finanziamento 2097540.06 EUR
Regione Marche,2024,Provincia di Macerata,provincia,manutenzione alloggi ERAP,100000,EUR,
